Ch01,Glucose R.I,0
Ch02,Urera U.V ( S.L)  ( Blood Urera ),0
Ch03,Creatinine ,0
Ch04,Cholesterol ( S.L),0
Ch05,Triglycerides (S.L),0
Ch06,HDL Cholesterol Reagent ,0
Ch07,Alkaline Phosphatase ( S.L ) ,0
Ch08,Uric Acid ( S.L.) ,0
Ch09,SGPT ( S.L),0
Ch10,SGOT ( S.L) ,0
Ch11,Calcium ( Modified Arsenazo Mehtod),0
Ch12,Total Protein Kit ( Meriline cliniquant ),0
Ch13,Bilirubin Total & Direct Kit ( ERBA Company ),0
Ch14,Albumin ,0
Ch15,Spanclone Anti A  +  B + D Monaclonal,0
Ch16,2 Items Reagent Strips for Urinalysis,0
Ch17,Cleanzer ,0
Ch18,Cell Lyse ,0
Ch19,Meril Cel qunt Diluent 20 ltr ,0
Ch20,Lab water ,0
Ch21,HIV KIT,0
Ch22,HBSAG KIT ( Hepaview - Hbsag ),0
Ch23,Avitech Plain Pro ( bulb),0
Ch24,Avitech FL Oxalate ( bulb),0
Ch25, ONEUSE Nirlife aculife ,0
Ch26,Avitech K2 EDTA (CBC bulb) ,0
